pair_id	han_sentence	viet_sentence
HVB_001_0028	国威州在罗城南，古州在江北，仙州古龙编，富良州、思农州，一云杨舍，定边州一云眉州，万崖州一云明黄，文州一云门州，七源州、思浪州、太原州一云黄源，通农州、渭龙州一云乙舍，光州、罗顺州一云来臣，道黄州即平林场。	Quốc-Oai-Châu: ở phía nam thành Đại-La. Cổ-Châu: ở Bắc-Giang. Tiên-Châu: xưa gọi là Long-Biên. Phú-Lương-Châu. Tư-Nông-Châu: một tên khác gọi là Dương-Xá. Định-Biên-Châu: một tên khác gọi là Minh-Mỵ. Vạn-Nhai-Châu: một tên khác gọi là Minh-Hoàng. Văn-Châu: một tên khác gọi là Môn-Châu. Thất-Nguyên-Châu. Tư-Lang-Châu. Thái-Nguyên-Châu: một tên khác gọi là Hoàng-Nguyên. Thông-Nông-Châu. Vị-Long-Châu: một tên khác gọi là Ất-xá. Quang-Châu. La-Thuận-Châu: một tên khác gọi là Lai-thần. Hoàng-Đạo-Châu: tức Bình-Lâm-Trường.
HVB_001_0029	古州名峯州，吴曰新昌，长州、武峩州、唐林州。	Tên Châu Thời Xưa. (Nhiều tên đã thay đổi, chỉ còn lại số ít). Phong-Châu: nhà Ngô gọi Tân-Châu. Tô-Mậu-Châu. Tô-Vật-Châu. Trường-Châu. Nga-Châu. Đường-Châu: một tên khác gọi là Phương-Lâm.
HVB_001_0030	县：武宁县、万载县、丘温县、新立县、恍县、纸县、历县、阑桥县、追延县、古勇县、供县、窟县、上坡县、门县。	Các Huyện. Võ-Ninh Huyện, Vạn-Tải Huyện, Khâu-Ôn Huyện, Tân-Lập Huyện, Hoảng Huyện, Chỉ Huyện, Lịch Huyện, Lan-Kiều Huyện, Truy-Diên Huyện, Cổ-Dũng Huyện, Cung Huyện, Quẫn Huyện (Nguyên-sử chép là Quật), Thượng-Pha Huyện, Môn Huyện.
HVB_001_0031	古县名龙编，西汉交州刺史所治。	Long-Biên: Cuối đời Tây-Hán, trị-sở của Thứ-sử quận Giao-Châu tên là Long-Uyên
HVB_001_0032	旧名龙源，后有蛟龙盘编于木，改曰龙编。	sau vì có Giao-Long hay lên nằm khoanh trên mặt nước, mới cải tên là Long-Biên.
HVB_001_0033	羸𨻻，羸音莲，𨻻音篓。	"Liên-Lâu: Âm chữ trên là ""liên"", âm chữ dưới là ""lâu""."
HVB_001_0034	朱鸢，汉县，唐改鸢州，置高凌、安定县。	Chu-Diên: Huyện của đời Hán; đời Đường cải làm Diên-Châu, đặt ra hai huyện Cao-Lăng và An-Định.
HVB_001_0035	麊泠、曲昜，昜古阳字。	"My-Linh: Trị-sở của quan Đô-Uý quận Giao-Chỉ đời Hán. Khúc-Dương: Âm là ""Dương""."
HVB_001_0036	茍屚，屚与漏同。	Câu-Lậu: Hồi trước Cát-Hồng làm huyện lệnh ở đây.
HVB_001_0037	安顺，唐顺州；崇平，唐安平；海平，唐宁海；古都、安定。	An-Thuận: Đời nhà Đường gọi là Thuận-Châu. Sùng-Bình: Đời Đường là An-Bình. Hải-Bình: Đời Đường là Ninh-Hải. Cổ-Đô. An-Định.
HVB_001_0038	清化府路，西汉九真郡，隋唐爱州。	Phủ-Lộ Thanh Hoá. Đời Tây-Hán là quận Cửu-Chân, đời Tuỳ, Đường là Ái-Châu
HVB_001_0039	其属邑今曰江、曰场、曰甲、曰社。	những thuộc ấp của châu ấy hiện nay, gọi là giang, trường, giáp và xã
HVB_001_0040	梁江、波笼江、荼江、贡江、采舍江、安暹场、文场、古藤甲、支明甲、古弘甲、古战甲、缘甲、典臾甲、结帨甲。	Lương-giang, Ba-lung-giang, Trà-giang, Cống-giang, Thái-xa-giang, An-tiêm-trường, Văn-trường, Cổ-đằng-giáp, Chi-minh-giáp, Cổ-hoằng-giáp, Cổ-chiến-giáp, Duyên-giáp, Điền-sử-giáp, Kiết-thuế-giáp.
HVB_001_0041	古县名都庞，庞音聋。	"Đồ-Bàng: Chữ ""bàng"" theo Nhan-Sư-cổ-âm là ""lung""."
HVB_001_0042	居风，马援擒徵侧馀党处。	Cư-Phong: Là nơi Mã-Viện bắt được dư-đảng của Trưng-Trắc.
HVB_001_0043	无功，汉九真都尉治。	Vô-Công: Trị sở của Đô-Uý quận Cửu-Chân đời Hán.
HVB_001_0044	越裳，一云九德。	Việt-Thường: Một tên khác là Cửu-Đức.
HVB_001_0045	乂安府路，西汉日南郡，隋唐为驩州。	Nghệ An Phủ Lộ. Trong thời Tây-Hán là Quận Nhật-Nam, đời Tuỳ, Đường gọi là Hoan-Châu.
HVB_001_0046	幼津江、明道江、偈江、尚路社、唐家社、张舍社。	Ấu-Tân-Giang. Minh-Đạo-Giang. Kệ-Giang. Thương-Lộ-Giang. Đường-Gia-Giang. Trương-Xá-Giang.
HVB_001_0047	演州路，本西汉日南郡，唐演州，县曰扶演、安人、巨赖。	Diễn-Châu lộ. Vốn là thuộc huyện của quận Nhật-Nam, gọi là Phù-Diễn và An-Nhân, nhà Đường đổi tên là Diễn-Châu.
HVB_001_0048	江池、袁江、孝江、多璧场、巨蓝社、高家社、班剥社。	Cự-Lại-Giang. Tha-Viên-Giang. Hiếu-Giang. Đa-Bích-Trường. Cự-Lam-Xã. Cao-Gia-Xã. Ban-Bát-Xã.
HVB_001_0049	布政府路，本西汉日南郡象林县。	Bố-Chánh phủ lộ. Nguyên là huyện Tượng-Lâm, quận Nhật-Nam đời Tây-Hán.
HVB_001_0050	汉末，邑人杀令，自立国曰林邑。	Cuối đời nhà Hán, có người trong ấp giết huyện lệnh, tự lập thành nước, gọi là Lâm-ấp.
HVB_001_0051	唐元和初，复隶安南府。	Đầu niên hiệu Nguyên-Hoà (806-820) nhà Đường, lại thuộc về An-nam phủ
HVB_001_0052	今名布政，地山林重复。	nay tên là Bố-Chính. Trong xứ ấy, núi trùng-điệp
HVB_001_0053	柳子厚诗：林邑东南山似戟，闍黎江接占城界。	"cho nên Liễu-Tử-Hậu có câu thơ rằng: ""Lâm-ấp đông hồi sơn tợ kính"", nghĩa là ""từ phía đông quanh lại xứ Lâm-ấp, núi dựng như cây giáo"". Đồ-Lê-Giang: (Tiếp giới Chiêm-Thành)."
HVB_001_0054	山佛迹山，石上有足迹，故名。	Núi Phật-Tích: vì trên đá có dấu chân, nên đặt tên là Phật-Tích.
HVB_001_0055	伞圆山，山形如伞。	Núi Tản-Viên: hình núi như cái tán.
HVB_001_0056	仙游山，有盘石，隐然有枰纹。	Núi Tiên-Du: có hòn đá bàn-thạch, dợn có đường gạch như bàn cờ
HVB_001_0057	昔传仙奕于此，樵女野合其上，石覆且裂。	tương truyền rằng: xưa có tiên đánh cờ vây ở đó. Bọn con gái đi hái củi thường đến giao-hợp ở trên đá bàn cờ, nên hòn đá ấy đổ xuống và nứt vỡ.
HVB_001_0058	武宁山，俗传下有赵越王坟。	Núi Võ-Ninh: Tục truyền rằng ở dưới núi có mộ của Triệu-Việt-Vương.
HVB_001_0059	普赖山，至元丁未，官兵筑木栅储粮于此。	Núi Phổ-Lại: Năm Đinh-Vị, Chí-Nguyên, (có lẽ chép nhầm năm Đinh-Hợi Chí-Nguyên tức năm 1287 A.D.), quan binh có tới làm hang rào cây, để chứa lương thực ở đó.
HVB_001_0060	万劫山，前控大江，后山万重，有茂林修竹、小桥流水之胜，兴道王隐其中。	Núi Vạn-Kiếp: Trở mặt ra một con sông lớn, sau lưng có núi muôn trùng, rừng rậm tre cao, dưới nước trên cầu, phong cảnh rất đẹp. Hưng-Đạo-Vương đã từng ẩn ở trong ấy.
HVB_001_0061	杰特山，入山径路，花木繁茂，玉泉漱石，幽谷迎人，翛然世境外。	Núi Kiệt-Đặc: Đi đường tắt vào núi thì thấy hoa và cây rậm rạp tốt đẹp, có suối ngọc chảy mòn đá, lửa đóm rước người (vào chơi), mát mẽ lạ lùng, cõi đời không có.
HVB_001_0062	鞍子山，一名安山，或名象山，高出云雨之上。	Núi Yên-Tử: Gọi là Yên-Sơn hoặc là Tượng Sơn, bề cao lên quá từng mây.
HVB_001_0063	崱山，有烟萝洞，千岩俱胜绝，善乐王常置弟子其间。	Tắc Sơn: Có động Yên-La, đỉnh núi Tý-ngọ, đều xinh đẹp lạ kỳ. Thiện-Lạc-Vương thường dắt đệ-tử vào đó.
HVB_001_0064	地觐山，尤险峻，有古松，俗传龙蟠其上，陈太王建行宫于此。	Núi Địa-Cận: Núi ấy rất cao và hiểm trở, có cây tùng đã lâu đời, tục truyền có rồng khoanh ở trên cây ấy. Trần-Thái-Vương có làm hành-cung tại đó.
HVB_001_0065	天养山，秀且险，潮汐始通舟楫，王族构第其中以避国难。	Núi Thiên-Dưỡng: Tốt đẹp mà hiểm, khi thủy-triều lên xuống mới chèo ghe đi tới được. Họ nhà vua xây dựng nhà cửa ở trong, để tránh quốc-nạn.
HVB_001_0066	武林洞，昔安南四世国主陈仁王弃位隐其中以成道，号曰竹林道士，有香海印诗集传于世。	Động Võ-Lâm: Xưa nước An-nam, đời vua thứ tư của nhà Trần là Trần-Nhân-Vương, bỏ ngôi vào ẩn ở đó để thành đạo, hiệu là Trúc-Lâm đạo-sĩ, có làm Hương-hải-ấn-thi tập, truyền lại đời sau.
HVB_001_0067	神投山，罗城、清化二郡界山也。	Núi Thần-Đầu: Núi ấy làm ranh giới cho hai quận La-Thành và Thanh-Hoá.
HVB_001_0068	山连两岸，海潮中流，昔人径凿两岸三峯来往。	Thế núi liền nhau có hai bờ, nước thuỷ-triều ngoài biển chạy vào ở giữa. Thời xưa người ta tới đục mở ba hòn núi ở bờ phía nam để tiện sự qua lại.
HVB_001_0069	初，李圣王攻占城，欲济海，烟浪不能渡，祷于山神，遂济军还，即立祀。	Hồi trước Thánh-Vương nhà Lý, đánh nước Chiêm-Thành, ý muốn vượt qua biển, nhưng gặp mù và sóng lớn, đi không được, mới cầu thần ở núi ấy, rồi đi được, khi về lập đền thờ ở đó
HVB_001_0070	此后诸山皆隶清化。	từ đó về sau, các hòn núi đều thuộc về Thanh-Hoá cả.
HVB_001_0071	龙岱岩，一云宝台，郁然独秀。	Long Đại-Nham: Gọi là Bửu-Đài, sầm uất mà tốt đẹp đặc biệt
HVB_001_0072	岩内事佛，外悬阁宇，清江横前，红荷绕后，松数里，山万重。	trong vách đá có khoảng trống làm chỗ thờ phật, ở ngoài như treo những hoành đối, trổ dáng nhà cửa, giàn trước có con sông trong, bọc sau lưng có hồ sen đỏ, cây thông bóng mát vài dặm, núi non liên tiếp muôn trùng.
HVB_001_0073	昔传有大形鼠居洞中，俗名蝙蝠岩。	"Xưa có truyền lại rằng có con chuột rất lớn ở trong hang núi, nên tục gọi là hòn lèn ""Con dơi""."
HVB_001_0074	文场山，岩石净白，堪为水晶珠。	Núi Văn-Trường: Đá núi ấy rất tinh khiết mà trắng, làm hạt châu-thuỷ-tinh được.
HVB_001_0075	卞山在海洋，昔有立化者，蜕骨贯石窍尚存。	Biện-Sơn: Ở ngoài bể khơi, xưa có những thú-vật thình-lình hoá kiếp những võ và xương tấp vào, xuyên qua hang đá, nay vẫn còn.
HVB_001_0076	安获山，出碑砚石。	Núi An-Hoạch: Sản-xuất đá làm bia, làm đỉa nghiên.
HVB_001_0077	旧志载：豫章太守范甯遣使九真采石磬，为学中用。	Sách cũ có chép: Dự-Chương Thái-Thú Phạm-Nịnh sai sứ tới quận Cửu-Chân lấy đá làm khánh để dùng ở trong trường học.
HVB_001_0078	东山，临支明江，高且秀，山洞上有窍。	Núi Đông-Sơn: Chạy tới sông Chi-Minh, đã cao lại tốt, trên núi có hang
HVB_001_0079	登而远望，水天一色，真嘉景也。	trèo lên mà trông, sắc nước in trời thật là một cảnh rất đẹp.
HVB_001_0080	崱父中年休官，自号思惟居士，常隐其中。	Phụ-thân tôi, (Lê-Tắc) thời trung-niên, thôi làm quan, tự hiệu là Tư-Duy cư-sĩ, thường ẩn-cư trong hang núi ấy.
HVB_001_0081	驱傩山，高旷多山鬼，每出焚舍。	Núi Khu-Na: Cao, rộng, nhiều ma, những con ma nầy mỗi khi ra khỏi núi lại đốt nhà của người ta.
HVB_001_0082	有僧名奉符，日夜诵大悲咒，鬼畏远，避免其害。	Nhân có nhà sư tên là Phụng-Phù, cứ ngày đêm đọc bài chú đại-bi, ma sợ tránh đi xa, người ta mới khỏi bị hại.
HVB_001_0083	山多杂果，人至任啖之，挟归者则迷其归路。	Núi ấy có nhiều trái cây ăn được, ai đến tha hồ mà ăn, nhưng hễ đem về thì lạc mất đường.
HVB_001_0084	立石山，孤石特起。	Núi Lập-Thạch: Là một hòn đá đứng sững vậy.
HVB_001_0085	昔传有神人擎巨石为爱、演二州界。	Tương truyền rằng thuở xưa có ông thần dựng một hòn đá to lớn để vạch địa hạt Ái-Châu và Diễn-Châu.
HVB_001_0086	陀伎山，有地园，远在海滨，出墨石棋子，色可爱。	Núi Đà-Kỹ: Có một khoảng đất vườn, ở sát bờ biển, sinh ra thứ đá đen như hình con cờ, hình sắc thật đẹp, đáng yêu.
HVB_001_0087	余尝游之，逢老者云：此山百馀里，又有出白石棋子，俗传仙人尝奕于此。	"Ta thường ra chơi, gặp ông già nói rằng: ""cách đây hơn một trăm dặm, lại có sản-xuất con cờ đá trắng"". Tục truyền rằng: người tiên thường đánh cờ vây ở đó."
HVB_001_0088	香象山，极高广，产名香、犀、象。	Núi Hương-Tượng: Rất cao rộng, sản-xuất gỗ thơm, tê-ngu và voi.
HVB_001_0089	崇山，唐沈佺期流驩州，从崇山向越裳诗：朝登崇山下，暮至越裳阴。	Sùng-Sơn: Thẩm-thuyên-Kỳ, đời nhà Đường bị đày qua đất Hoan-Châu, có làm bài Sùng-Sơn hướng Việt-Thường thi: Buổi mai leo đến núi Sùng, Việt-Thường xế đến, ngồi trông bóng chiều.
HVB_001_0090	西从杉谷度，北出竹溪深。	Hang Sam-Cốc theo chiều bóng lặn, Từ Trúc-Khê ra thẳng Bắc-Phương.
HVB_001_0091	竹溪通明水，杉谷古崇岑。	Trúc-Khê, Minh-Thuỷ thông-thương, Rày Hang Sam-Cốc, xưa đường Sùng-Sơn.
HVB_001_0092	差池将不合，缭绕复相寻。	Núi so le, cây ngàn thưa nhặt, Quấn quít nhau ràng mắc thành chùm.
HVB_001_0093	桂叶藏金屿，藤花闭石林。	Đầy gò lá quế xanh um, Hoa đằng nẩy nở trong lùm đá ngăn.
HVB_001_0094	天窗虚的的，云窦下沈沈。	Trời lồng lộng còn dăng cửa sổ, Cảnh âm thầm đá trổ hang mây.
HVB_001_0095	造化功偏厚，真仙迹累临。	Thợ trời dường lắm công xây, Bao nhiêu thẳng-tích người rày tới nơi.
HVB_001_0096	岂徒探怪异，聊复缓归心。	Không phải muốn tìm nơi quái dị, Khoan thai chưa quyết chí lui về.
HVB_001_0097	分山，一云裂山。	Phân Sơn: Lại còn gọi là Liệt-Sơn
HVB_001_0098	安南、占城以山为两国界。	hai nước An-nam và Chiêm-Thành, lấy núi này làm ranh-giới
HVB_001_0099	俗传草木亦分南北而俯。	tục truyền rằng cây cỏ ở trên núi ấy cũng chia hai: bên ngã về Nam, bên ngã về Bắc.
HVB_001_0100	金牛山，古载石赤色，其中有金，夜光如萤。	Núi Kim-Ngưu: Sách xưa chép đá núi ấy đều sắc đỏ, trong đá có chất vàng, đêm lại thì sáng như con đom-đóm.
HVB_001_0101	都隆岭，有刘方败林邑王所。	Núi Đô-Long: Nơi Lưu-Phương đánh bại Lâm-ấp.
HVB_001_0102	水古载淹水、泸渝水、漏水、西随水，自越巂东南流至交址龙门。	Sách xưa chép các con sông như Yêm-Thuỷ, Lô-Du-Thuỷ, Lậu-Thuỷ, Tây-Tuỳ-Thuỷ đều từ Đông-nam đất Tuấn-Việt chảy đến Long-Môn đất Giao-Chỉ.
HVB_001_0103	扬雄曰：交址荒裔，水与天际。	"Dương-Hùng (đời nhà Hán) nói rằng: ""các xứ hoang nhàn ở giải đất Giao-Chỉ, nước tiếp giáp với trời""."
HVB_001_0104	泸江水曰三带江，至罗城白泸，又通于海。	Lô-Giang: Sông Tam-Đái (ba giải) chảy tới La-Thành, lại từ sông Lô thông ra biển.
HVB_001_0105	历江，泸江分为绕罗城江，有五桥，皆杰丽。	Tô-Lịch-Giang: Chảy quanh La-Thành, trên sông có năm cái cầu, đều làm rất đẹp.
HVB_001_0106	至元丙子，宋亡，参政曾子渊归安南，游历江桥诗：白首苏郎天一涯，武皇仙去雁南来。	Hiệu Chí-Nguyên năm Bính Tý (1276), nhà Tống mất, Tăng-Uyển-Tử trốn sang An-nam, đi chơi qua cầu Lịch-Giang có ngâm bài thơ rằng: Đầu bạc chàng Tô, trời một góc, Theo tiên vua Võ, nhạn về Nam.
HVB_001_0107	历江桥上望天北，今见秋风第几回。	Trên cầu sông Lịch trông về Bắc, Trải mấy lằn thu thấy chẳng nhàm.
HVB_001_0108	三带江，归化江水自云南，宣化江水自特磨道，陀江水自撞龙，因名焉。	Tam-Đái-Giang: Nước sông Qui-Hóa từ Vân-Nam chảy về, nước sông Tuyên-Quang từ Đặc-Ma-Đạo chảy tới, nước sông Đà từ nguồn Chàng-Long chảy về, nhân có ngã ba, nên đặt tên như vậy.
HVB_001_0109	富良江，宋郭逵败交址处。	Phú-Lương-Giang: Là nơi Quách-Quỳ đời Tống đánh bại Giao-Chỉ.
HVB_001_0110	大黄江，至元甲申，官军破安南处。	Đại-Hoàng-Giang: Trong năm Giáp-Thân hiệu Chí-Nguyên (1284), là nơi quan quân đánh phá An-nam.
HVB_001_0111	大恶江，一云大安。	Đại-Ác-Giang: Một tên khác gọi là Đại-An.
HVB_001_0112	㜑吕渊，水深多水怪。	Bà-Lữ-Uyên: (vực) nước sâu có nhiều thuỷ quái.
HVB_001_0113	慈廉水，九域志：慈廉水在交址者，李仁祖居水边，兄弟十人并慈孝，因得名焉。	Từ-Liêm-Thuỷ: Theo sách Cửu-Vực-Chí chép rằng: Từ-Liêm-Thuỷ ở tại Giao-Chỉ. Xưa ở bên sông ấy, Lý-Nhân-Tổ có mười anh em đều từ hiếu cả, nhân đó, mới đặt tên như vậy.
HVB_001_0114	龙门水，古载交址封溪县有龙门，水深百寻，大鱼登此化为龙，不得则暴腮点额。	"Long-Môn-Thuỷ: Sách xưa chép: ""huyện Phong-Khê, quận Giao-Chỉ có Long-Môn-Thuỷ, nước sâu trăm tầm, cá con nào lớn vượt lên suối ấy được, thì hóa rồng, nếu lên không được, thì bị thương nơi trán và bày mang ra""."
HVB_001_0115	越裳苑，扶南记：山溪濑中曰苑，九得苑一云捕苑。	Việt-Thường-Uyển: Cứ sách Phò-Nam-Ký, khoảng đất giữa khe núi, gọi là uyển. Vườn Cửu-Đắc, có tên là Bổ-Uyển.
HVB_001_0116	古迹越王城，俗名可缕城，有古池。	Việt-Vương-Thành, tục gọi là thành Khả-Lũ, có một cái ao cổ
HVB_001_0117	国王每岁采珠，用此水洗珠，色鲜丽。	Quốc-vương mỗi năm lấy ngọc châu, dùng nước ao ấy rửa thì sắc ngọc tươi đẹp.
HVB_001_0118	在交址外城。	ở ngoại thành.
HVB_001_0119	记：昔未有郡县时，雒田随潮水上下，垦其田者为雒民，统其民者为雒王，副者为雒将，皆铜印青绶。	Giao-Châu Ngoại-Vực-Ký chép: hồi xưa, chưa có quận huyện, thì Lạc-điền tuỳ theo thuỷ-triều lên xuống mà cày cấy. Người cày ruộng ấy gọi là Lạc-Dân, người cai-quản dân gọi là Lạc-Vương, người phó là Lạc-Tướng, đều có ấn bằng đồng và dải sắc xanh làm huy-hiệu.
HVB_001_0120	蜀王尝遣子将兵三万降诸雒，因据其地，自称安阳王而王。	Vua nước Thục, thường sai con đem ba vạn binh, đi chinh phục các Lạc-Tướng, nhân đó cử giữ đất Lạc mà tự xưng là An-Dương-Vương.
HVB_001_0121	赵佗举兵袭之，有神人名㫤通下，为安阳王辅佐，治神弩，一发杀万人。	Triệu-Đà cử binh sang đánh. Lúc ấy có một vị thần tên là Cao-Thông xuống giúp An-Dương-Vương, làm ra cái nỏ thần, bắn một phát giết được muôn người.
HVB_001_0122	赵佗知不可敌，因住武宁县，遣太子始诈降以为图。	Triệu Đà biết địch không lại với An-Dương-Vương, nhân đó trú lại huyện Võ-Ninh, khiến Thái-Tử Thuỷ làm chước tá hàng để tính kế về sau.
HVB_001_0123	后㫤通去，语王曰：能持予弩则兴，否则亡。	"Lúc Cảo-Thông đi, nói với vua An-Dương-Vương rằng: ""Hễ giữ được cái nỏ của ta, thì còn nước, không giữ được thì mất nước""."
HVB_001_0124	安阳王有女名媚珠，见太子始悦之，遂与相通。	An-Dương-Vương có con gái tên là Mỵ-Châu, thấy Thái-Tử Thuỷ lấy làm đẹp lòng, rồi hai người lấy nhau.
HVB_001_0125	媚珠取弩视之，阴易弩机。	Mỵ-Châu lấy cái nỏ thần cho Thái-Tử Thuỷ xem, Thuỷ xem rồi lấy trộm cái lẩy nỏ mà đổi đi.
HVB_001_0126	赵佗进兵，安阳王败，持避水犀入海。	Về sau Triệu-Đà kéo quân tới đánh thì An-Dương-Vương bại trận, cầm cái sừng tê vẹt được nước vào biển đi trốn
HVB_001_0127	赵佗奄有其地。	nên Triệu-Đà chiếm cả đất của An-Dương-Vương.
HVB_001_0128	今平地县有安阳王宫城迹犹存。	Nay ở huyện Bình-Địa, dấu tích cung điện và thành trì của An-Dương-Vương hãy còn.
HVB_001_0129	刘昭云：交址安阳国。	Lưu-Chiêu nói: Giao-Chỉ tức là nước An-Dương.
HVB_001_0130	汉马伏波平交址，立铜柱为汉界。	Mã-Phục-Ba đời Hán dẹp yên giặc ở Giao-Chỉ, rồi dựng trụ đồng để làm giới hạn cho nhà Hán.
HVB_001_0131	唐马总为安南都护，又建二铜柱，以总为伏波之裔。	Đời nhà Đường, Mã-Tống làm chức An-nam đô-hộ, lại dựng hai cái trụ đồng, vì Tống là con cháu của Phục-Ba.
HVB_001_0132	昔传钦州古森洞有马援铜柱，誓云：铜柱折，交址灭。	"Xưa có truyền lại rằng: ở nơi động Cổ-Sum, tại Khâm-Châu có cái cột đồng của Mã-Viện và lời thề rằng: ""Hễ cái trụ đồng nầy gãy, thì nước Giao-Chỉ tiêu-diệt"""
HVB_001_0133	交人每过其下，以瓦石掷之，遂成丘。	vì thế, người Giao-Châu, mỗi khi đi ngang qua đều lấy đá, ngói, ném vào dưới chân cột đồng, nên chẳng bao lâu, nơi ấy hóa thành gò.
HVB_001_0134	杜诗云：雨来铜柱北，应洗伏波军。	"Đổ-Phủ có câu thơ rằng: ""Vũ lai đồng trụ bắc, ý tẩy Phục-Ba quân"" nghĩa là: ""mưa phía Bắc đồng trụ, muốn rửa quân Phục-Ba""."
HVB_001_0135	占城界亦有铜柱。	Ở cương-giới nước Chiêm-Thành cũng có cột đồng.
HVB_001_0136	九域志云：交州井非人所凿。	"Sách Cửu-Vực-Chí nói: ""cái giếng tại Giao-Châu không phải người đào""."
HVB_001_0137	马援平交址，击牛酾酒，劳飨军士。	Mã-Viện khi đã dẹp yên Giao-Chỉ, có làm trâu bò, lọc rượu để đãi quân-sĩ
